rank_no,rank,oos_rmse_err,oos_wlp_err,coef_mae,fold_mae,gate_abs,target,scale,train_mode,margin,margin_rev,ht_sign,htsurp,spread,td_rev,tm_rev,2017_rmse,2017_bets,2018_rmse,2018_bets
95,3586.684860850806,0.01956596825890422,422,0.30402159702342785,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,-1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
96,3586.684860850806,0.01956596825890422,422,0.3040215970234282,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,-1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
97,3591.890557170296,0.01956596825890422,422,0.30922729334291776,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,True,1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
98,3591.890557170296,0.01956596825890422,422,0.30922729334291776,0.09610877972985872,1504,resid_withot,xscale,expanding,line,False,1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
99,3591.8905571702962,0.01956596825890422,422,0.30922729334291804,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,True,1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
100,3591.8905571702962,0.01956596825890422,422,0.30922729334291804,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,False,1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
101,3600.257775968523,0.020006812922948924,440,0.2731518684866291,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,-1,line,line,True,False,9.858742622558513,467,10.168811031590362,380
102,3600.257775968523,0.020006812922948924,440,0.2731518684866291,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,-1,line,line,True,False,9.858742622558513,467,10.168811031590362,380
103,3600.2577759685237,0.020006812922948924,440,0.2731518684866294,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,-1,line,line,True,False,9.858742622558513,467,10.168811031590362,380
104,3600.2577759685237,0.020006812922948924,440,0.2731518684866294,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,-1,line,line,True,False,9.858742622558513,467,10.168811031590362,380
105,3602.84052439255,0.01956596825890422,422,0.32017726056517176,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,-1,expected,expected,False,True,9.858626445567046,468,10.168486363917784,370
106,3602.84052439255,0.01956596825890422,422,0.32017726056517176,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,-1,expected,expected,False,True,9.858626445567046,468,10.168486363917784,370
107,3602.8405243925504,0.01956596825890422,422,0.32017726056517204,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,-1,expected,expected,False,True,9.858626445567046,468,10.168486363917784,370
108,3602.8405243925504,0.01956596825890422,422,0.32017726056517204,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,-1,expected,expected,False,True,9.858626445567046,468,10.168486363917784,370
109,3610.3295516924877,0.020006812922948924,440,0.2832236442105939,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,True,1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
110,3610.3295516924877,0.020006812922948924,440,0.2832236442105939,0.09523392980458312,1254,resid_withot,xscale,expanding,line,False,1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
111,3610.329551692488,0.020006812922948924,440,0.28322364421059415,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,True,1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
112,3610.329551692488,0.020006812922948924,440,0.28322364421059415,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,False,1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
113,3613.0875103645244,0.020006812922948924,440,0.2859816028826302,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,-1,line,expected,False,False,9.858742622558513,467,10.168811031590362,380
114,3613.0875103645244,0.020006812922948924,440,0.2859816028826304,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,-1,line,expected,False,False,9.858742622558513,467,10.168811031590362,380
115,3613.0875103645244,0.020006812922948924,440,0.2859816028826302,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,-1,line,expected,False,False,9.858742622558513,467,10.168811031590362,380
116,3613.0875103645244,0.020006812922948924,440,0.2859816028826304,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,-1,line,expected,False,False,9.858742622558513,467,10.168811031590362,380
117,3616.413439510267,0.020006812922948924,440,0.289307532028373,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,-1,line,line,True,True,9.858742622558513,467,10.168811031590362,380
118,3616.413439510267,0.020006812922948924,440,0.289307532028373,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,-1,line,line,True,True,9.858742622558513,467,10.168811031590362,380
119,3616.4134395102674,0.020006812922948924,440,0.2893075320283733,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,-1,line,line,True,True,9.858742622558513,467,10.168811031590362,380
120,3616.4134395102674,0.020006812922948924,440,0.2893075320283733,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,-1,line,line,True,True,9.858742622558513,467,10.168811031590362,380
121,3617.14544129906,0.01956596825890422,422,0.3344821774716822,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,True,1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
122,3617.14544129906,0.01956596825890422,422,0.3344821774716822,0.09610877972985872,1504,resid_withot,xscale,expanding,line,False,1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
123,3617.1454412990606,0.01956596825890422,422,0.3344821774716825,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,True,1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
124,3617.1454412990606,0.01956596825890422,422,0.3344821774716825,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,False,1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
125,3626.485215234232,0.020006812922948924,440,0.29937930775233773,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,True,1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
126,3626.485215234232,0.020006812922948924,440,0.29937930775233773,0.09523392980458312,1254,resid_withot,xscale,expanding,line,False,1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
127,3626.4852152342323,0.020006812922948924,440,0.299379307752338,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,True,1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
128,3626.4852152342323,0.020006812922948924,440,0.299379307752338,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,False,1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
129,3628.0954085213143,0.01956596825890422,422,0.3454321446939362,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,-1,expected,expected,True,False,9.858626445567046,468,10.168486363917784,370
130,3628.0954085213143,0.01956596825890422,422,0.3454321446939362,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,-1,expected,expected,True,False,9.858626445567046,468,10.168486363917784,370
131,3628.0954085213148,0.01956596825890422,422,0.34543214469393646,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,-1,expected,expected,True,False,9.858626445567046,468,10.168486363917784,370
132,3628.0954085213148,0.01956596825890422,422,0.34543214469393646,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,-1,expected,expected,True,False,9.858626445567046,468,10.168486363917784,370
133,3629.243173906268,0.020006812922948924,440,0.3021372664243741,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,-1,line,expected,False,True,9.858742622558513,467,10.168811031590362,380
134,3629.243173906268,0.020006812922948924,440,0.3021372664243741,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,-1,line,expected,False,True,9.858742622558513,467,10.168811031590362,380
135,3629.2431739062686,0.020006812922948924,440,0.30213726642437433,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,-1,line,expected,False,True,9.858742622558513,467,10.168811031590362,380
136,3629.2431739062686,0.020006812922948924,440,0.30213726642437433,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,-1,line,expected,False,True,9.858742622558513,467,10.168811031590362,380
137,3633.3011048408043,0.01956596825890422,422,0.3506378410134261,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,True,1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
138,3633.3011048408043,0.01956596825890422,422,0.3506378410134264,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,True,1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
139,3633.3011048408043,0.01956596825890422,422,0.3506378410134261,0.09610877972985872,1504,resid_withot,xscale,expanding,line,False,1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
140,3633.3011048408043,0.01956596825890422,422,0.3506378410134264,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,False,1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
141,3638.1671842452793,0.01956596825890422,422,0.35550392041790096,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,True,1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
142,3638.1671842452793,0.01956596825890422,422,0.3555039204179013,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,True,1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
143,3638.1671842452793,0.01956596825890422,422,0.35550392041790096,0.09610877972985872,1504,resid_withot,xscale,expanding,line,False,1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
144,3638.1671842452793,0.01956596825890422,422,0.3555039204179013,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,False,1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
145,3644.251072063058,0.01956596825890422,422,0.36158780823568004,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,-1,expected,expected,True,True,9.858626445567046,468,10.168486363917784,370
