GAME_ID,Date,HomeTeam,AwayTeam,HomeSpread_AtOpen,HomeSpread_AtClose,2H_HomeSpread,Over_AtClose,2H_Over,ht_home,ht_away,ht_margin,pregame_home_expected_margin,h2_home_expected_margin,ht_margin_surprise_vs_fullgame_half,second_half_margin_no_ot,second_half_margin_with_ot,sign_flip_close_to_h2
0020700706,2008-02-04 00:00:00,SEA,CHI,0.0,2.0,-1.0,194.0,99.5,49.0,56.0,-7.0,-2.0,1.0,-6.0,-3.0,-3.0,True
0020700707,2008-02-05 00:00:00,PHI,WAS,1.0,2.0,-1.0,190.0,100.5,49.0,56.0,-7.0,-2.0,1.0,-6.0,12.0,12.0,True
0020700713,2008-02-06 00:00:00,ATL,LAL,3.0,3.5,-1.0,203.0,102.5,45.0,53.0,-8.0,-3.5,1.0,-6.25,11.0,11.0,True
0020700738,2008-02-09 00:00:00,PHI,LAC,-7.0,-6.5,2.5,193.5,93.0,59.0,40.0,19.0,6.5,-2.5,15.75,2.0,2.0,True
0020700741,2008-02-09 00:00:00,HOU,ATL,-8.0,-9.0,2.0,185.0,94.5,56.0,31.0,25.0,9.0,-2.0,20.5,-6.0,-6.0,True
0020700774,2008-02-13 00:00:00,DAL,POR,-8.0,-3.0,2.0,180.0,91.5,54.0,43.0,11.0,3.0,-2.0,9.5,9.0,9.0,True
0020700781,2008-02-19 00:00:00,CLE,HOU,1.0,1.0,-1.5,184.5,91.0,36.0,42.0,-6.0,-1.0,1.5,-5.5,-2.0,-2.0,True
0020700789,2008-02-19 00:00:00,LAL,ATL,-10.5,-11.0,4.0,208.0,103.5,73.0,37.0,36.0,11.0,-4.0,30.5,-7.0,-7.0,True
0020700791,2008-02-20 00:00:00,PHI,NYK,-6.5,-7.0,4.5,192.5,93.5,72.0,36.0,36.0,7.0,-4.5,32.5,4.0,4.0,True
0020700790,2008-02-20 00:00:00,TOR,ORL,-5.5,-3.5,3.0,205.5,99.5,64.0,50.0,14.0,3.5,-3.0,12.25,3.0,3.0,True
0020700792,2008-02-20 00:00:00,IND,CLE,2.0,1.5,-1.0,203.5,100.0,54.0,60.0,-6.0,-1.5,1.0,-5.25,-3.0,-3.0,True
0020700799,2008-02-20 00:00:00,GSW,BOS,1.0,3.0,-1.0,217.5,107.5,50.0,57.0,-7.0,-3.0,1.0,-5.5,9.0,9.0,True
0020700804,2008-02-22 00:00:00,ORL,PHI,-7.5,-7.0,0.5,203.0,98.0,53.0,40.0,13.0,7.0,-0.5,9.5,3.0,3.0,True
0020700812,2008-02-22 00:00:00,PHX,BOS,-2.0,-1.0,3.0,216.5,103.5,43.0,30.0,13.0,1.0,-3.0,12.5,-5.0,-5.0,True
0020700820,2008-02-23 00:00:00,SAS,NOH,-6.0,-7.0,1.0,183.5,92.0,50.0,35.0,15.0,7.0,-1.0,11.5,-6.0,-6.0,True
0020700819,2008-02-23 00:00:00,MIL,DEN,4.0,3.5,-3.0,214.0,103.5,50.0,64.0,-14.0,-3.5,3.0,-12.25,20.0,20.0,True
0020700831,2008-02-25 00:00:00,IND,TOR,3.0,3.0,-1.5,207.5,102.5,46.0,54.0,-8.0,-3.0,1.5,-6.5,4.0,4.0,True
0020700842,2008-02-26 00:00:00,HOU,WAS,-12.5,-10.5,2.0,189.0,96.5,51.0,23.0,28.0,10.5,-2.0,22.75,-3.0,-3.0,True
0020700853,2008-02-27 00:00:00,SEA,DEN,9.0,9.5,-1.0,215.0,103.5,45.0,64.0,-19.0,-9.5,1.0,-14.25,-23.0,-23.0,True
0020700855,2008-02-28 00:00:00,NJN,MIL,-3.0,-3.0,3.0,196.5,101.5,68.0,55.0,13.0,3.0,-3.0,11.5,1.0,1.0,True
